"序
号",检查内容,检查标准,结果,备注
51,"室内氢气管道不应敷设在地沟中或直接
埋地，室外地沟敷设的管道，应有防止氢
气泄漏、积聚或窜入其他地沟的措施。埋
地敷设的氢气管道埋深不宜小于0.7m。湿
氢管道应敷设在冰冻层以下。","GB4962-2008
第4.4.8条",符合,"室内氢气管道管架敷
设。"
52,"在氢气管道与其相连的装置、设备之间应
安装止回阀，界区间阀门宜设置有效的隔
离措施，防止来自装置、设备的外部火焰
回火至氢气系统。氢气作焊接、切割、燃
料和保护气等使用时，每台（组）用氢设
备的支管上应设阻火器。","GB4962-2008
第4.4.9条",符合,安装有止回阀。
53,"氢气储存容器应符合《压力容发全技术监
察规程》。氢气囊不宜做为氢气储存容器。","GB4962-2008
第6.1条",符合,设有氢气储罐。
54,"氢气罐应安装放空阀、压力表、安全阀，
压力表每半年校验一次，安全阀一般应每
年至少校验一次，确保可靠。立式或卧式
变压定容氢气罐安全阀宜设置在容器便
于操作位置，且宜安装两台相同泄放量且
并联或切换的安全阀，以确保安全阀检验
时不影响罐内的氢气使用。","GB4962-2008
第6.4.1条",符合,"氢气罐的压力表、安
全阀定期校验。"
55,"氢气罐放空阀、安全阀和置换排放管道系
统均应设排放管，并应连接装有阻火器或
蒸汽稀释、氮气密封、末端设置火炬燃烧
的总排放管。惰性气体吹扫置换接口应参
照6.2.4要求执行。","GB4962-2008
第6.4.2条",符合,"氢气罐放空阀、安全
阀和置换排放管道系
统设排放管，连接阻
火器。"
56,"氢气罐应有静电接地设施。所有防静电设
施应定期检查、维修，并建立档案。","GB4962-2008
第6.4.8条",符合,"氢气罐设有防静电接
地设施。"
57,"氢气放排放管应采用金属材料，不得使用
塑料管或橡皮管。","GB4962-2008
第8.1条",符合,放空管为金属材料。
58,"氢气排放管应设阻火器，阻火器应设在管
口处。","GB4962-2008
第8.2条",符合,"氢气排放管有阻火
器。"
59,"室内排放管的出口应高出屋顶2m以上。
室外设备的排放管应高于附近有人员作
业的最高设备2m以上。","GB4962-2008
第8.4条",符合,"排放管出口设置在车
间屋顶高处。"
60,"氢气使用时，严禁与空气、氧气等气体混
合而形成爆炸气体。","GB16912-2008
第7.3.20条",符合,"氢气使用前用氮气进
行反应釜置换，确保
无杂质。"
61,"氢气所用的仪表及阀门等零部件的密封
应良好，并定期检查，发现漏点应及时处
理。","GB16912-2008
第7.3.21条",符合,氢气阀门良好。
62,"室内氢气易泄漏和积聚处，应设置浓度报
警装置。","GB16912-2008
第7.3.22条",符合,"制氢、加氢装置区设
有氢气浓度报警器。"
63,"氢气系统应设置氮气置换吹扫接头，使用
时用软管与氮气管道连接，用毕拆除。","GB16912-2008
第7.3.23条",符合,"有氮气置换吹扫接
头。"
64,"接触氢气的阀门不应采用铜和铜合金材
料。","GB16912-2008
第7.3.25条",符合,"未采用铜和铜合金材
质。"
