氢,,
"标
识",中文名：,氢；氢气
,英文名：,Hydrogen
,分子式：,"H
2"
,分子量：,2.01
,CAS号：,1333-74-0
,RTECS号：,MW8900000
,UN/CN编号：,1049（压缩的）/21001；1966（液化的）/21002
,危险化学品序号：,1648
,特殊事项：,重点监管；重大危险源临界量：5t
,IMDG规则页码：,2148
"理
化
性
质",外观与性状：,无色无臭气体。
,主要用途：,用于合成氨和甲醇等，石油精制，有机物氢化及作火箭燃料。
,熔点：,-259.2
,沸点：,-252.8
,相对密度(水=1)：,0.07/-252℃
,相对密度(空气=1):,0.07
,饱和蒸汽压(kPa)：,13.33/-257.9℃
,溶解性：,不溶于水，不溶于乙醇、乙醚。
,临界温度(℃)：,-240
,临界压力(MPa)：,1.30 最大爆炸压力(MPa)：0.720
,燃烧热(kj/mol)：,241.0（1.20×105kJ/kg）；最小引燃能量(mJ)：0.02
"燃
烧
爆
炸
危
险
性",避免接触的条件：,光照。
,燃烧性：,易燃
,建规火险类别：,甲
,闪点(℃)：,<-50
,自燃温度(℃)：,引燃温度（℃）：500
,爆炸下限(V%)：,4
,爆炸上限(V%)：,75
,危险特性：,"与空气混合能形成爆炸性混合物，遇明火、高热能引起燃烧爆炸。
气体比空气轻，在室内使用和储存时，漏气上升滞留屋顶不易排出，
遇火星会引起爆炸。与氟、氯等能发生剧烈的化学反应。燃烧时看
不见火焰(即使在黑暗中)。高压释放常常在没有任何点火源的情况下
着火。如果该物质或被污染的流体进入水路，通知有潜在水体污染
的下游用户，通知地方卫生、消防官员和污染控制部门。受过特殊
培训的人员可以利用喷雾水流冷却周围暴露物，让火自行烧尽。在
安全防爆距离以外，使用雾状水冷却暴露的容器。若冷却水流不起
作用(排放音量、音调升高，罐体变色或有任何变形的迹象)，立即撤
离到安全区域。
最小点火能(MJ)：0.019 易燃性(红色)：4 化学活性(黄色)：0"
