序号,物料名称,健康危害
,,"激动、乏力、震颤、恶心等，皮肤反复接触可引起干燥、脱屑、皲裂和皮
炎。"
6,乙酸乙酯,"对眼、鼻、咽喉有刺激作用。高浓度吸入可引起缓慢而渐进的麻醉作用。
持续大量吸入，可致呼吸麻痹。有致敏作用，因血管神经障碍而致牙龈路
充血及粘膜炎症；可致湿疹样皮炎。"
7,丙酮,"急性中毒主要表现为对中枢神经系统的麻醉作用，出现乏力、恶心、头痛、
头晕，容易激动。重者发生呕吐、气急、痉挛，甚至昏迷。对眼、鼻、喉
有刺激性。口服后，口唇、咽喉有烧灼感，后出现口干、呕吐；昏迷、酸
中毒和酮症。慢性影响：长期高浓度接触该品出现眩晕、灼烧感、咽炎、
支气管炎、乏力、易激动等。皮肤长期反复接触可致皮炎。"
8,四氢呋喃,"本品具有麻醉作用。吸入后引起上呼吸道刺激、恶心、头晕、头痛和中枢
神经系统抑制。能引起肝、肾损害。液体或高浓度蒸气对眼有刺激性。长
期反复皮肤接触，可因脱脂作用而发生皮炎。"
9,氯苯,"对中枢神经系统有抑制作用和麻醉作用，对皮肤和粘膜有轻微刺激作用。
急性中毒：有头痛、头晕、无力、食欲减退、麻醉状态，甚至昏迷。慢性
影响：常有眼痛、流泪、结膜充血。早期有头痛、失眠、记忆减退等神经
衰弱征候群，重者引起中毒性肝炎，个别可发生肾脏损害。"
10,硼氢化钾,"本品对粘膜、上呼吸道、眼睛及皮肤有强烈刺激性。吸入后，可因喉和支
气管的炎症、水肿、痉挛，化学性肺炎或肺水肿而致死。中毒表现有烧灼
感、咳嗽、喘息、喉炎、气短、头痛、恶心和呕吐等。"
11,锌粉,"吸入锌在高温下形成的氧化锌烟雾可致金属烟雾热，症状有口中金属味、
口渴、胸部紧束感、干咳、头痛、头晕、高热、寒战等。粉尘对眼有刺激
性。口服刺激胃肠道。长期或反复接触对皮肤有刺激性。"
12,亚硝酸钠,"毒作用为麻痹血管运动中枢及周围血管，形成高铁血红蛋白。急性中毒表
现为全身无力、头痛、头晕、恶心、呕吐、腹泻、呼吸困难；检查见皮肤
粘膜明显紫绀。严重者血压下降、昏迷，死亡。接触工人手、足部皮肤可
发生损害。"
13,三氯甲烷,"主要作用于中枢神经系统，具有麻醉作用，对肝，肾有损害作用。吸入或
经皮肤吸收引起急性中毒，初期有头痛、头晕、恶心、呕吐、兴奋、皮肤
粘膜有刺激症状，以后呈现精神紊乱、呼吸表浅、反射消失、昏迷等，重
者发生呼吸麻痹、心室纤维性颤动、并可有肝、肾损害。误服中毒时，胃
有烧灼感、伴恶心、呕吐、腹痛、腹泻。以后出现麻醉症状。慢性中毒：
主要引起肝脏损害，此外还有消化不良、乏力、头痛、失眠等症状，少数
有肾损害。"
14,盐酸,"接触其蒸气或烟雾，引起眼结膜炎，鼻及口腔粘膜有烧灼感，鼻衄、齿龈
出血、气管炎；刺激皮肤发生皮炎，慢性支气管炎等病变。误服盐酸中毒，
可引起消化道灼伤、溃疡形成，有可能胃穿孔、腹膜炎等。"
15,溴,"对皮肤、粘膜有强烈刺激作用和腐蚀作用。轻度中毒时，有全身无力、胸
部发紧、干咳、恶心或呕吐；吸入较多时，有头痛、呼吸困难、剧烈咳嗽、
流泪、眼睑水肿及痉挛。有的出现支气管哮喘、支气管炎或肺炎。少数人
出现过敏性皮炎，高浓度溴可造成皮肤灼伤，甚至溃疡。长期吸入，除粘
膜刺激症状外，还伴有神经衰弱征候群等。"
16,正磷酸,"蒸气或雾对眼、鼻、喉有刺激性。液体可致皮肤或眼灼伤。慢性影响：鼻
粘膜萎缩，鼻中隔穿孔。长期反复皮肤接触，可引起皮肤刺激。"
17,"4-氯苯甲
酰氯",未见毒性资料。
18,氢氧化钾,"本品具强烈腐蚀性。吸入后强烈刺激呼吸道或造成灼伤。眼和皮肤直接接
触可致灼伤。口服灼伤口腔和消化道，可致死。"
