序号,物料名称,危险特性
,,成爆炸物。能积聚静电。
14,盐酸,"能与一些活性金属粉末发生反应，放出氢气。遇氰化物能产生剧毒的氰化氢
气体。与碱发生中合反应，并放出大量的热。与乙酸酐、脂肪胺类、链烷醇
胺类、烯基氧化物、芳香胺类、氨基化合物、2-氨基乙醇、氨、氢氧化氨、
二磷化三钙、氯磺酸、乙撑二胺、二甲亚胺、环氧氯丙烷、异氰酸酯类、乙
炔基金属、发烟硫酸、有机酸酐、高氯酸、3-丙内酯、磷化铀、硫酸、氢氧
化钠及其他碱类、强氧化剂、醋酸乙烯酯及二氟乙烯接触发生反应。接触绝
大多数金属，放出易燃氢气。"
15,溴,"具有强氧化性。与易燃物(如苯)和有机物(如糖、纤维素等)接触会发生剧烈
反应，甚至引起燃烧。与还原剂强烈反应。"
16,正磷酸,"受热分解产生剧毒的氧化磷烟气。强酸；接触强腐蚀剂，放出大量热量，并
发生溅射。与脂肪胺、链烷醇胺、烯基氧化物、芳香胺、氨基化合物、氨、
氢氧化铵、碱、氧化钙、环氧氯丙烷、异氰酸酯不能配伍。与硝基甲烷、发
烟硫酸、有机酸酐、硫酸、四硼氢化钠、强氧化剂、醋酸乙烯酯和水接触发
生爆炸。接触大多数金属能形成易燃氢气。如果作为金属洗净剂，金属中的
杂质能引起形成剧毒的磷化氢气体。"
17,"4-氯苯甲
酰氯","遇明火、高热可燃。与强氧化剂可发生反应。受高热分解产生有毒的腐蚀性
烟气。"
18,氢氧化钾,"本品不会燃烧，遇水和水蒸气大量放热，形成腐蚀性溶液。与酸发生中和反
应并放热。氢氧化钾吸收了水分，能点燃临近的物质。"
19,氢氧化钠,"本品不会燃烧，遇水和水蒸气大量放热，形成腐蚀性溶液。与酸发生中和反
应并放热。"
20,氯化锌,受高热分解产生有毒的腐蚀性气体。遇水迅速分解，放出白色烟雾。
21,雷尼镍,"其粉体化学活性较高，暴露在空气中会发生氧化反应，甚至自燃，燃烧时会
产生有害气体。遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。参
加反应之后的雷尼镍仍然可能含有大量的氢气。"
22,天然气,"与空气混合能形成爆炸性混合物，遇明火、高热极易燃烧爆炸。与氟、氯等
能发生剧烈的化学反应。其蒸气比空气轻，比空气轻而容易发散，易在封闭
环境里聚集，遇明火会引着回燃。若遇高热，容器内压增大，有开裂和爆炸
的危险。"
23,"氟利昂
R22",若遇高热，容器内压增大，有开裂和爆炸的危险。
24,柴油,"遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。若遇高热，容器内
压增大，有开裂和爆炸的危险。"
