序号,物料名称,危险特性
1,氢,"与空气混合能形成爆炸性混合物，遇明火、高热能引起燃烧爆炸。气体比空
气轻，在室内使用和储存时，漏气上升滞留屋顶不易排出，遇火星会引起爆
炸。与氟、氯等能发生剧烈的化学反应。燃烧时看不见火焰(即使在黑暗中)。
高压释放常常在没有任何点火源的情况下着火。如果该物质或被污染的流体
进入水路，通知有潜在水体污染的下游用户，通知地方卫生、消防官员和污
染控制部门。受过特殊培训的人员可以利用喷雾水流冷却周围暴露物，让火
自行烧尽。在安全防爆距离以外，使用雾状水冷却暴露的容器。若冷却水流
不起作用(排放音量、音调升高，罐体变色或有任何变形的迹象)，立即撤离
到安全区域。"
2,氮,"惰性气体，有窒息性，在密闭空间内可将人窒息死亡。若遇高热，容器内压
增大，有开裂和爆炸的危险。"
3,甲苯,"其蒸气与空气形成爆炸性混合物，遇明火、高热能引起燃烧爆炸。与氧化剂
能发生强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇火
源引着回燃。若遇高热，容器内压增大，有开裂和爆炸的危险。流速过快，
容易产生和积聚静电。"
4,甲醇,"其蒸气与空气形成爆炸性混合物，遇明火、高热能引起燃烧爆炸。与氧化剂
能发生强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇火
源引着回燃。若遇高热，容器内压增大，有开裂和爆炸的危险。燃烧时无光
焰。能积聚静电，引燃其蒸气。"
5,乙醇,"其蒸气与空气形成爆炸性混合物，遇明火、高热能引起燃烧爆炸。与氧化剂
能发生强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇火
源引着回燃。若遇高热，容器内压增大，有开裂和爆炸的危险。燃烧时发出
紫色火焰。"
6,乙酸乙酯,"其蒸气与空气形成爆炸性混合物，遇明火、高热能引起燃烧爆炸。与氧化剂
能发生强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇火
源引着回燃。若遇高热，容器内压增大，有开裂和爆炸的危险。"
7,丙酮,"其蒸气与空气形成爆炸性混合物，遇明火、高热极易燃烧爆炸。与氧化剂能
发生强烈反应。其蒸气比空气重，能在较低处扩散到相当远的地方，遇火源
引着回燃。若遇高热，容器内压增大，有开裂和爆炸的危险。"
8,四氢呋喃,"其蒸气与空气形成爆炸性混合物，遇明火、高热极易燃烧爆炸。与氧化剂能
发生强烈反应。接触空气或在光照条件下可生成具有潜在爆炸危险性的过氧
化物。其蒸气比空气重，能在较低处扩散到相当远的地方，遇火源引着回燃。
若遇高热，容器内压增大，有开裂和爆炸的危险。"
9,氯苯,"遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。与过氯酸银、二甲
亚砜反应剧烈。若遇高热，容器内压增大，有开裂和爆炸的危险。"
10,硼氢化钾,"遇明火、高热或与氧化剂接触，有引起燃烧爆炸的危险。遇水或酸发生反应
放出氢气及热量，能引起燃烧。"
11,锌粉,"具有强还原性。遇酸类、水、卤素和氧化剂等能发生强烈的化学反应，引起
燃烧或爆炸。粉体与空气可形成爆炸性混合物，当达到一定的浓度时，遇火
星会发生爆炸。"
12,亚硝酸钠,"暴露在空气中会被氧化而变质。与还原剂、有机物、易燃物如硫、磷或金属
粉末等混合可形成爆炸性混合物，急剧加热时可发生爆炸。"
13,三氯甲烷,"一般不会燃烧，但长时间暴露在明火及高温下仍能燃烧。在过量水、光照、
高温下会发生分解，生成高毒的具有腐蚀性的光气和氯化氢。类似碱液的强
碱和氢氧化钾能使氯仿分解成氯酸盐和甲酸盐。在强碱和水的作用下，能形"
