三氯甲烷,,
"标
识",中文名：,三氯甲烷；氯仿；哥罗仿
,英文名：,Trichloromethane；Chloroform
,分子式：,"CHCl
3"
,分子量：,119.39
,CAS号：,67-66-3
,RTECS号：,FS9100000
,UN/CN编号：,1888/61553
,危险化学品序号：,1852
,特殊事项：,重点监管；第二类易制毒
,IMDG规则页码：,6103
"理
化
性
质",外观与性状：,无色透明重质液体，极易挥发，有特殊气味。
,主要用途：,用于有机合成及麻醉剂等。
,熔点：,-63.5
,沸点：,6l.3
,相对密度(水=1)：,1.50
,相对密度(空气=1):,4.12
,饱和蒸汽压(kPa)：,13.33/10.4℃
,溶解性：,不溶于水，溶于醇、醚、苯。
,临界温度(℃)：,263.4 折射率：1.447
,临界压力(MPa)：,5.47 辛醇/水分配系数的对数值：1.97
,燃烧热(kj/mol)：,373.5
"燃
烧
爆
炸
危
险
性",避免接触的条件：,光照。
,燃烧性：,不燃
,建规火险类别：,
,闪点(℃)：,无意义
,自燃温度(℃)：,无意义
,爆炸下限(V%)：,无意义
,爆炸上限(V%)：,无意义
,危险特性：,"一般不会燃烧，但长时间暴露在明火及高温下仍能燃烧。在过量水、
光照、高温下会发生分解，生成高毒的具有腐蚀性的光气和氯化氢。
类似碱液的强碱和氢氧化钾能使氯仿分解成氯酸盐和甲酸盐。在强碱
和水的作用下，能形成爆炸物。高温接触水，有腐蚀性；腐蚀铁和其
他金属。腐蚀塑料和橡胶。能积聚静电。
易燃性(红色)：0 反应活性(黄色)：0"
,燃烧(分解)产物：,氯化氢、光气。
,稳定性：,稳定
,聚合危害：,不能出现
,禁忌物：,碱类、铝、丙酮、强氧化剂、钾、钠、活泼金属。
